epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.644,1.52377,1.45722,1.22521,0.83459,0.63132,0.71036,0.41136,1.36596,0.98993,1.06892,0.00332935,0.00332935,0.00332935
2,522.734,1.3955,0.99534,1.10251,0.84078,0.59967,0.6724,0.39371,1.38472,0.97826,1.1069,0.00659672,0.00659672,0.00659672
3,748.118,1.39837,0.95145,1.09496,0.8448,0.6087,0.691,0.4096,1.34757,0.88346,1.07055,0.0097981,0.0097981,0.0097981
4,951.979,1.40453,0.935,1.0978,0.86611,0.62621,0.70987,0.4337,1.3201,0.80124,1.0631,0.009703,0.009703,0.009703
5,1128.57,1.36753,0.87561,1.08458,0.87124,0.64909,0.72922,0.448,1.29,0.7546,1.04603,0.009604,0.009604,0.009604
6,1301.36,1.33614,0.83569,1.07213,0.87467,0.64317,0.73167,0.44671,1.29014,0.74852,1.04705,0.009505,0.009505,0.009505
7,1474.74,1.32164,0.81041,1.06197,0.8757,0.65876,0.73808,0.45794,1.26422,0.74451,1.04065,0.009406,0.009406,0.009406
8,1648.05,1.29833,0.78797,1.05276,0.88739,0.6626,0.75,0.46897,1.24064,0.68579,1.02457,0.009307,0.009307,0.009307
9,1821.36,1.28614,0.77768,1.0513,0.87291,0.67957,0.75309,0.47534,1.23393,0.67755,1.02465,0.009208,0.009208,0.009208
10,1995.07,1.27964,0.76181,1.04522,0.88976,0.67803,0.76251,0.47783,1.23056,0.6684,1.02076,0.009109,0.009109,0.009109
11,2178.68,1.26672,0.74717,1.04357,0.88836,0.68706,0.76659,0.48277,1.21249,0.64908,1.01822,0.00901,0.00901,0.00901
12,2382.24,1.25873,0.74282,1.03942,0.88249,0.68803,0.76913,0.48833,1.20643,0.647,1.01904,0.008911,0.008911,0.008911
13,2574.47,1.24678,0.72884,1.03573,0.88311,0.68518,0.77062,0.48966,1.20907,0.64175,1.0194,0.008812,0.008812,0.008812
14,2749.96,1.24083,0.72736,1.03365,0.88515,0.69502,0.77682,0.49257,1.19895,0.6273,1.00904,0.008713,0.008713,0.008713
15,2931,1.23363,0.71596,1.0304,0.88262,0.70455,0.77995,0.49665,1.19037,0.61848,1.00683,0.008614,0.008614,0.008614
16,3121.12,1.23003,0.71103,1.02551,0.88723,0.69813,0.78206,0.49783,1.18107,0.6119,1.0034,0.008515,0.008515,0.008515
17,3304.35,1.23519,0.71118,1.02824,0.88416,0.70716,0.7866,0.50158,1.18068,0.59846,1.00022,0.008416,0.008416,0.008416
18,3479.26,1.21935,0.69947,1.02383,0.89132,0.70792,0.78715,0.50285,1.18163,0.5973,1.0013,0.008317,0.008317,0.008317
19,3660.7,1.22174,0.69452,1.02088,0.88826,0.70686,0.78655,0.50338,1.16925,0.59768,0.99457,0.008218,0.008218,0.008218
20,3846.25,1.21221,0.69374,1.02052,0.89226,0.71005,0.78847,0.50633,1.16724,0.58908,0.9937,0.008119,0.008119,0.008119
21,4032.87,1.21852,0.69424,1.01783,0.88597,0.71512,0.79047,0.50704,1.16737,0.58595,0.995,0.00802,0.00802,0.00802
22,4210.97,1.20357,0.68414,1.01405,0.88214,0.71589,0.79437,0.51136,1.16381,0.57873,0.98795,0.007921,0.007921,0.007921
23,4395.95,1.20137,0.68045,1.01592,0.89665,0.71356,0.79496,0.51253,1.15715,0.57626,0.98788,0.007822,0.007822,0.007822
24,4573.26,1.20547,0.67971,1.01152,0.89596,0.71424,0.79516,0.5128,1.15469,0.56884,0.98708,0.007723,0.007723,0.007723
25,4754.57,1.19813,0.67184,1.01135,0.89661,0.71656,0.79869,0.51484,1.151,0.56468,0.99031,0.007624,0.007624,0.007624
26,4933.61,1.1888,0.66542,1.01025,0.89839,0.71551,0.79921,0.51653,1.14858,0.56205,0.98357,0.007525,0.007525,0.007525
27,5114.23,1.19155,0.66805,1.00764,0.89431,0.72658,0.80075,0.51497,1.14859,0.56228,0.9832,0.007426,0.007426,0.007426
28,5292.78,1.18913,0.66132,1.00877,0.89571,0.72784,0.80464,0.51887,1.14447,0.55458,0.98356,0.007327,0.007327,0.007327
29,5469.84,1.18143,0.65452,1.00484,0.89767,0.72655,0.80512,0.51989,1.14489,0.55426,0.98221,0.007228,0.007228,0.007228
30,5644.71,1.18571,0.65562,1.00719,0.88399,0.73308,0.80447,0.51938,1.14669,0.5505,0.98432,0.007129,0.007129,0.007129
31,5825.87,1.1773,0.65192,1.00415,0.8887,0.735,0.80711,0.52169,1.14426,0.54923,0.9823,0.00703,0.00703,0.00703
32,6005.73,1.17697,0.65015,1.0048,0.89219,0.73279,0.80642,0.52191,1.13863,0.5468,0.97858,0.006931,0.006931,0.006931
33,6183.99,1.18415,0.65384,1.00459,0.89492,0.73263,0.80965,0.52482,1.13605,0.54364,0.98123,0.006832,0.006832,0.006832
34,6364.12,1.1744,0.64941,1.00077,0.88999,0.73764,0.80973,0.52496,1.13535,0.54063,0.97998,0.006733,0.006733,0.006733
35,6545.14,1.17135,0.64699,0.99927,0.88864,0.73528,0.81009,0.52477,1.13455,0.54106,0.97771,0.006634,0.006634,0.006634
36,6724.28,1.17102,0.64379,1.00119,0.89248,0.73185,0.80884,0.5264,1.13072,0.53781,0.97811,0.006535,0.006535,0.006535
37,6903.81,1.171,0.64452,1.00062,0.89482,0.73279,0.81249,0.52858,1.12716,0.53258,0.97486,0.006436,0.006436,0.006436
38,7081.78,1.1682,0.63887,1.00011,0.89554,0.7325,0.81158,0.52836,1.12638,0.53246,0.97563,0.006337,0.006337,0.006337
39,7258.95,1.1643,0.63583,0.99664,0.88787,0.74133,0.81224,0.52927,1.12579,0.52978,0.97389,0.006238,0.006238,0.006238
40,7435.42,1.15435,0.63064,0.99586,0.89397,0.7384,0.81308,0.52863,1.12571,0.52865,0.97496,0.006139,0.006139,0.006139
41,7612.03,1.15872,0.63342,0.99779,0.89081,0.74144,0.81225,0.5313,1.12143,0.52549,0.97383,0.00604,0.00604,0.00604
42,7790.76,1.16408,0.6322,0.99765,0.89615,0.73891,0.81433,0.53115,1.12047,0.52393,0.97298,0.005941,0.005941,0.005941
43,7968.13,1.15231,0.62668,0.99355,0.89637,0.74329,0.81693,0.53088,1.12295,0.52294,0.97284,0.005842,0.005842,0.005842
44,8146.02,1.14999,0.62281,0.99223,0.89948,0.73988,0.81746,0.53154,1.11938,0.52231,0.97187,0.005743,0.005743,0.005743
45,8321.55,1.15744,0.62547,0.99375,0.90131,0.73689,0.8167,0.53167,1.11934,0.52127,0.97192,0.005644,0.005644,0.005644
46,8497.91,1.14667,0.61994,0.98972,0.90228,0.73638,0.81778,0.53343,1.11629,0.52117,0.96929,0.005545,0.005545,0.005545
47,8674.45,1.14465,0.62273,0.99229,0.90058,0.73619,0.81866,0.5346,1.1155,0.51781,0.96887,0.005446,0.005446,0.005446
48,8850.17,1.13916,0.61226,0.98788,0.8956,0.74216,0.81888,0.53505,1.11655,0.51607,0.96843,0.005347,0.005347,0.005347
49,9025.76,1.14222,0.61263,0.99014,0.89401,0.74347,0.81921,0.53524,1.115,0.51606,0.96887,0.005248,0.005248,0.005248
50,9202.16,1.14161,0.61094,0.98544,0.89593,0.74392,0.82023,0.53549,1.11433,0.51408,0.96837,0.005149,0.005149,0.005149
51,9378.39,1.14285,0.61474,0.98846,0.89383,0.74636,0.82158,0.53551,1.11425,0.5139,0.96833,0.00505,0.00505,0.00505
52,9555.18,1.13771,0.60769,0.98897,0.89752,0.74325,0.82101,0.5355,1.11352,0.51381,0.96929,0.004951,0.004951,0.004951
53,9733.15,1.14204,0.61074,0.98798,0.89794,0.74415,0.82075,0.53607,1.11305,0.51319,0.96912,0.004852,0.004852,0.004852
54,9910.87,1.13368,0.60828,0.9872,0.89747,0.74522,0.82205,0.53653,1.11294,0.51233,0.96914,0.004753,0.004753,0.004753
55,10087.5,1.13791,0.60762,0.98794,0.90303,0.74182,0.82186,0.53669,1.11399,0.5107,0.96835,0.004654,0.004654,0.004654
56,10263.1,1.13018,0.60122,0.98047,0.90768,0.73797,0.82192,0.53703,1.11285,0.50949,0.96724,0.004555,0.004555,0.004555
57,10440.1,1.1358,0.60563,0.98657,0.90163,0.74223,0.82235,0.53719,1.11172,0.50809,0.96689,0.004456,0.004456,0.004456
58,10617.7,1.12945,0.59877,0.98401,0.90427,0.74106,0.82262,0.53736,1.11115,0.50737,0.96726,0.004357,0.004357,0.004357
59,10793.7,1.12732,0.59729,0.98593,0.90199,0.74269,0.82369,0.53797,1.11154,0.50669,0.9682,0.004258,0.004258,0.004258
60,10969.1,1.12779,0.5976,0.98205,0.89836,0.74575,0.82413,0.53825,1.11069,0.50544,0.96725,0.004159,0.004159,0.004159
61,11145,1.12429,0.59545,0.97985,0.89575,0.74754,0.82428,0.53848,1.11011,0.50545,0.96608,0.00406,0.00406,0.00406
62,11322.8,1.11262,0.58698,0.97721,0.89578,0.74667,0.82369,0.53876,1.10954,0.50491,0.96519,0.003961,0.003961,0.003961
63,11500.7,1.121,0.58796,0.98068,0.89668,0.74638,0.82415,0.53884,1.10936,0.50434,0.96508,0.003862,0.003862,0.003862
64,11676.8,1.11751,0.58627,0.97729,0.8956,0.74833,0.82452,0.53936,1.10871,0.50435,0.96521,0.003763,0.003763,0.003763
65,11852.5,1.12251,0.58951,0.98117,0.89661,0.74771,0.82481,0.53938,1.10881,0.50415,0.9657,0.003664,0.003664,0.003664
66,12028.8,1.11513,0.58524,0.97754,0.89465,0.7495,0.82521,0.54,1.10816,0.50341,0.96564,0.003565,0.003565,0.003565
67,12204.7,1.11708,0.5873,0.97685,0.89419,0.75027,0.82544,0.54021,1.10767,0.50275,0.96538,0.003466,0.003466,0.003466
68,12380.4,1.11353,0.5832,0.97809,0.89373,0.75128,0.82583,0.54041,1.10761,0.5023,0.96527,0.003367,0.003367,0.003367
69,12556.2,1.12301,0.58751,0.97705,0.89398,0.7516,0.82563,0.5403,1.10772,0.50178,0.9653,0.003268,0.003268,0.003268
